Date,Open,High,Low,Close,Adj Close,Volume
1/2/1991,20.959597,21.857864,20.959597,21.857864,15.738638,0
1/3/1991,20.959597,21.857864,20.959597,21.857864,15.738638,0
1/4/1991,21.857864,21.857864,21.857864,21.857864,15.738638,0
1/7/1991,20.36075,21.25902,20.061329,21.109308,15.199648,0
1/8/1991,21.109308,21.109308,21.109308,21.109308,15.199648,0
1/9/1991,21.25902,21.25902,20.061329,20.510462,14.76845,0
1/10/1991,20.510462,20.510462,20.510462,20.510462,14.76845,0
1/11/1991,20.36075,20.959597,20.061329,20.959597,15.091847,0
1/14/1991,20.660173,20.660173,20.061329,20.36075,14.660651,0
1/15/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/16/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/17/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/18/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/21/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/22/1991,20.36075,20.36075,20.36075,20.36075,14.660651,0
1/23/1991,20.660173,20.660173,19.761906,20.061329,14.445053,0
1/24/1991,19.761906,19.761906,19.462482,19.761906,14.229458,0
1/25/1991,19.761906,19.761906,18.863638,19.163059,13.798262,0
1/28/1991,19.163059,19.163059,19.163059,19.163059,13.798262,0
1/29/1991,19.163059,19.163059,19.163059,19.163059,13.798262,0
1/30/1991,19.163059,19.163059,19.163059,19.163059,13.798262,0
1/31/1991,20.061329,20.061329,19.312771,19.462482,14.013858,0
2/1/1991,19.462482,19.761906,19.312771,19.761906,14.229458,0
2/4/1991,20.36075,20.660173,19.761906,20.061329,14.445053,0
2/5/1991,20.36075,20.36075,19.761906,20.061329,14.445053,0
2/6/1991,20.061329,20.211039,19.911615,20.061329,14.445053,0
2/7/1991,19.163059,19.462482,19.013348,19.462482,14.013858,0
2/8/1991,19.163059,19.312771,18.863638,18.863638,13.582663,0
2/11/1991,18.564215,18.564215,17.815657,18.264791,13.151467,0
2/12/1991,18.264791,18.264791,18.264791,18.264791,13.151467,0
2/13/1991,17.665945,17.965368,17.21681,17.21681,12.396873,0
2/14/1991,17.516233,17.965368,17.366524,17.516233,12.612473,0
2/15/1991,17.815657,17.965368,17.067101,17.665945,12.72027,0
2/18/1991,17.665945,17.665945,17.665945,17.665945,12.72027,0
2/19/1991,19.761906,20.959597,19.761906,20.36075,14.660651,0
2/20/1991,19.462482,19.911615,19.163059,19.911615,14.337252,0
2/21/1991,20.510462,20.510462,19.761906,19.761906,14.229458,0
2/22/1991,20.660173,20.959597,20.36075,20.660173,14.87625,0
2/25/1991,20.660173,20.660173,20.660173,20.660173,14.87625,0
2/26/1991,20.959597,22.756132,20.660173,22.306999,16.062044,0
2/27/1991,22.756132,23.205267,21.857864,23.055555,16.601032,0
2/28/1991,22.905846,23.055555,22.456711,22.456711,16.169842,0
3/1/1991,22.456711,22.456711,22.456711,22.456711,16.169842,0
3/4/1991,22.157288,22.756132,20.660173,22.456711,16.169842,0
3/5/1991,22.157288,22.756132,22.157288,22.756132,16.385439,0
3/6/1991,22.756132,22.756132,22.756132,22.756132,16.385439,0
3/7/1991,20.959597,21.857864,20.959597,21.857864,15.738638,0
3/8/1991,21.109308,22.157288,20.959597,22.157288,15.954242,0
3/11/1991,21.558441,21.857864,21.25902,21.708153,15.63084,0
3/12/1991,21.558441,21.708153,20.959597,21.708153,15.63084,0
